JOB     2.MEA
INST    station
STA     2,1.500,
XYZ     1204.789,1205.879,8.792
BS      22,1.400
HVD     329776,320883,271.451
SC      22,1.400,BSS
NEZ     1198.279,1476.102,13.000
SC      A2001,1.400,
NEZ     1231.641,1197.105,9.279
SD      A2001,1.400,
HVD     1276718,322055,83.336
SD      A2001,1.400,
HVD     1236215,321028,26.886
SC      A2002,1.400,
NEZ     1224.090,1189.702,9.286
SD      A2002,1.400,
HVD     1153301,320561,23.652
SC      A2003,1.400,
NEZ     1224.187,1197.191,9.256
SD      A2003,1.400,
HVD     1214865,320212,19.825
SC      A2004,1.400,
NEZ     1216.428,1196.103,9.135
SD      A2004,1.400,
HVD     1153916,320332,13.667
SC      A2005,1.400,
NEZ     1217.046,1195.233,9.157
SD      A2005,1.400,
HVD     1150009,320282,14.700
SC      A2006,1.400,
NEZ     1215.935,1194.483,9.137
SD      A2006,1.400,
HVD     1131480,320491,14.401
SC      A2007,1.400,
NEZ     1215.714,1194.721,9.142
SD      A2007,1.400,
HVD     1131592,320339,14.077
SC      A2008,1.400,
NEZ     1215.340,1195.337,9.118
SD      A2008,1.400,
HVD     1134097,320517,13.375
SC      A2009,1.400,
NEZ     1215.032,1195.741,9.109
SD      A2009,1.400,
HVD     1135190,320524,12.872
SC      A2010,1.400,
NEZ     1213.241,1194.562,9.035
SD      A2010,1.400,
HVD     1100699,321659,12.602
SC      A2011,1.400,
NEZ     1213.928,1193.567,9.085
SD      A2011,1.400,
HVD     1100344,321123,13.811
SC      A2012,1.400,
NEZ     1224.248,1231.205,9.504
SD      A2012,1.400,
HVD     198677,320079,32.181
SC      A2013,1.400,
NEZ     1224.296,1238.763,9.838
SD      A2013,1.400,
HVD     221541,318955,38.657
SC      A2014,1.400,
NEZ     1231.814,1231.023,9.583
SD      A2014,1.400,
HVD     163191,320138,36.896
SC      A2015,1.400,
NEZ     1251.736,1230.855,9.694
SD      A2015,1.400,
HVD     106615,320866,52.754
SC      A2016,1.400,
NEZ     1251.791,1238.320,10.007
SD      A2016,1.400,
HVD     130112,319957,56.864
SC      A2017,1.400,
NEZ     1259.219,1230.776,9.742
SD      A2017,1.400,
HVD     93511,321046,59.340
SC      A2018,1.400,
NEZ     1278.950,1230.577,9.752
SD      A2018,1.400,
HVD     69988,321711,77.493
SC      A2019,1.400,
NEZ     1279.103,1238.026,9.999
SD      A2019,1.400,
HVD     87891,321163,80.422
SC      A2020,1.400,
NEZ     1214.998,1224.608,9.185
SC      A2021,1.400,
NEZ     1207.067,1226.159,9.126
SD      A2021,1.400,
HVD     312549,321741,21.404
SC      A2022,1.400,
NEZ     1209.568,1222.528,8.968
BS      22,1.400
HVD     329744,320866,271.431
SC      22,1.400,BSS
NEZ     1198.322,1476.083,13.004
SC      A417R,1.400,
NEZ     1179.521,1092.527,7.668
SD      A417R,1.400,
HVD     56179,326236,115.322
SC      A302R,1.400,
NEZ     1305.043,1231.610,9.934
SD      A302R,1.400,
HVD     54485,321870,102.732
SC      A303R,1.400,
NEZ     1363.754,1235.370,10.271
SD      A303R,1.400,
HVD     39470,322207,160.816
SC      A2023,1.400,
NEZ     1205.879,1204.789,9.063
SC      A2024,1.400,
NEZ     1205.879,1204.789,9.075
SC      A2025,1.400,
NEZ     1205.879,1204.789,9.083
SC      A2026,1.400,
NEZ     1219.215,1219.686,9.146
SC      A2027,1.400,
NEZ     1216.599,1219.110,8.977
SD      A2027,1.400,
HVD     191455,322785,17.889
SC      A2028,1.400,
NEZ     1212.533,1219.996,8.934
SD      A2028,1.400,
HVD     238925,323233,16.600
SC      A2029,1.400,
NEZ     1209.529,1221.871,8.911
SD      A2029,1.400,
HVD     280581,323545,17.468
SC      A2030,1.400,
NEZ     1206.481,1225.125,9.014
SD      A2030,1.400,
HVD     317902,322565,20.346
SC      A2031,1.400,
NEZ     1204.429,1231.829,9.049
SD      A2031,1.400,
HVD     335057,322649,27.079
SC      A2032,1.400,
NEZ     1205.002,1241.261,9.244
SD      A2032,1.400,
HVD     328960,321898,36.485
SC      A2033,1.400,
NEZ     1206.053,1227.829,9.243
SD      A2033,1.400,
HVD     322445,320682,23.044
SC      A2034,1.400,
NEZ     1205.454,1233.105,9.232
SC      A2035,1.400,
NEZ     1217.588,1210.060,8.968
SD      A2035,1.400,
HVD     87253,322462,12.841
SC      A2036,1.400,
NEZ     1213.458,1209.563,8.943
SD      A2036,1.400,
HVD     115941,322376,8.957
SC      A2037,1.400,
NEZ     1209.312,1207.436,8.870
SD      A2037,1.400,
HVD     135473,324095,4.335
SC      A2038,1.400,
NEZ     1207.041,1205.206,8.825
SD      A2038,1.400,
HVD     71104,331834,1.235
SC      A2039,1.400,
NEZ     1204.922,1201.524,8.739
SD      A2039,1.400,
HVD     913168,332045,3.405
SC      A2040,1.400,
NEZ     1204.024,1194.696,8.659
SD      A2040,1.400,
HVD     934502,328284,10.265
SC      A2041,1.400,
NEZ     1203.964,1186.519,8.576
SD      A2041,1.400,
HVD     950467,327320,18.372
SC      A2042,1.400,
NEZ     1194.858,1185.349,8.537
SD      A2042,1.400,
HVD     865625,327095,22.349
SC      A2043,1.400,
NEZ     1194.703,1181.212,8.498
SD      A2043,1.400,
HVD     880705,326956,26.094
SC      A2044,1.400,
NEZ     1199.176,1181.764,8.611
SD      A2044,1.400,
HVD     913571,326244,23.983
SC      A2045,1.400,
NEZ     1204.865,1196.384,8.831
SC      A2046,1.400,
NEZ     1205.879,1204.789,8.842
SC      A2047,1.400,
NEZ     1205.879,1204.789,8.933
SC      A2048,1.400,
NEZ     1216.960,1209.411,9.052
SC      A2049,1.400,
NEZ     1203.615,1179.428,8.522
SD      A2049,1.400,
HVD     953637,326839,25.464
SC      A2050,1.400,
NEZ     1205.546,1167.667,8.551
SD      A2050,1.400,
HVD     970152,325783,37.125
SC      A2051,1.400,
NEZ     1206.359,1177.785,8.602
SD      A2051,1.400,
HVD     975667,326062,27.009
SC      A2052,1.400,
NEZ     1206.876,1186.402,8.712
SD      A2052,1.400,
HVD     983172,325789,18.415
SC      A2053,1.400,
NEZ     1214.506,1189.420,9.116
SD      A2053,1.400,
HVD     1077515,321142,17.627
SC      A2054,1.400,
NEZ     1211.903,1184.971,9.021
SD      A2054,1.400,
HVD     1032865,322515,20.714
SC      A2055,1.400,
NEZ     1209.889,1186.080,8.945
SD      A2055,1.400,
HVD     1015546,323216,19.134
SC      A2056,1.400,
NEZ     1208.738,1191.911,8.843
SD      A2056,1.400,
HVD     1017066,324456,13.192
