JOB     A403.MEA
INST    station
STA     A403,1.353,
XYZ     1022.630,1436.480,10.840
BS      A401,1.350
HVD     341577,324568,180.464
SC      A401,1.350,BSS
NEZ     1421.120,1202.439,10.349
SC      A402,1.350,
NEZ     1428.097,1085.619,10.668
SD      A402,1.350,
HVD     351292,324567,63.545
SC      A404,1.350,
NEZ     1410.653,1014.429,13.889
SD      A404,1.350,
HVD     711418,300912,27.268
SC      A403001,1.350,
NEZ     1428.729,1009.341,12.215
SD      A403001,1.350,
HVD     863089,305650,15.445
SC      A403002,1.350,
NEZ     1427.744,1013.282,12.343
SD      A403002,1.350,
HVD     816976,299927,12.883
SC      A403003,1.350,
NEZ     1418.765,1003.225,12.801
SD      A403003,1.350,
HVD     819385,308660,26.348
SC      A403004,1.600,
NEZ     1434.029,996.624,11.657
SD      A403004,1.600,
HVD     952619,315606,26.143
SC      A403005,1.900,
NEZ     1432.904,987.051,11.576
SD      A403005,1.900,
HVD     951334,316603,35.781
SC      A403006,1.350,
NEZ     1445.017,975.761,11.003
SC      A403007,1.350,
NEZ     1446.477,975.601,10.826
SD      A403007,1.350,
HVD     1015205,324074,48.080
SC      A403008,1.350,
NEZ     1453.436,975.395,10.814
SD      A403008,1.350,
HVD     1043087,324119,50.186
SC      A403009,1.350,
NEZ     1453.892,978.185,11.000
SC      A403010,1.350,
NEZ     1453.543,980.012,10.942
SC      A403011,1.350,
NEZ     1445.777,976.583,11.062
SC      A403012,1.350,
NEZ     1451.908,987.621,10.971
SC      A403013,1.350,
NEZ     1451.213,990.190,11.059
SC      A403014,1.350,
NEZ     1455.929,975.443,11.123
SD      A403014,1.350,
HVD     1052641,322869,51.039
SC      A403015,1.350,
NEZ     1459.037,999.777,15.307
SD      A403015,1.350,
HVD     1132762,295510,32.419
SC      A403016,1.938,
NEZ     1456.033,1021.747,15.837
SD      A403016,1.938,
HVD     1286688,266691,20.353
SC      A403017,1.350,
NEZ     1454.679,1041.306,16.689
SD      A403017,1.350,
HVD     164670,278508,26.724
SC      A403018,1.350,
NEZ     1438.032,1066.775,10.831
SC      A403019,1.350,
NEZ     1431.542,1118.000,10.777
SC      A403020,1.350,
NEZ     1435.341,1100.102,10.770
SD      A403020,1.350,
HVD     327032,324196,77.481
SC      A403021,1.350,
NEZ     1433.169,1099.292,10.622
SD      A403021,1.350,
HVD     332904,324596,76.734
SC      A403022,1.350,
NEZ     1429.885,1098.078,10.676
SD      A403022,1.350,
HVD     341980,324457,75.736
SC      A403023,1.350,
NEZ     1426.342,1097.222,10.617
SD      A403023,1.350,
HVD     351858,324619,75.279
SC      A403024,1.350,
NEZ     1424.198,1096.143,10.742
SD      A403024,1.350,
HVD     358142,324281,74.532
SC      A403025,1.350,
NEZ     1434.635,1018.846,10.963
SD      A403025,1.350,
HVD     878422,318136,4.211
SC      A403026,1.350,
NEZ     1436.770,1019.160,10.856
SD      A403026,1.350,
HVD     989182,323239,3.483
SC      A403027,1.350,
NEZ     1443.920,1020.798,10.826
SD      A403027,1.350,
HVD     1246189,324460,7.663
SC      A403028,1.350,
NEZ     1446.098,1020.788,11.003
SD      A403028,1.350,
HVD     1256973,320627,9.794
SC      A403029,1.350,
NEZ     1445.669,1015.791,10.971
SC      A403030,1.350,
NEZ     1440.242,1050.383,10.836
SC      A403031,1.350,
NEZ     1418.138,1081.964,11.400
SD      A403031,1.350,
HVD     385839,322151,62.107
SC      A403032,1.350,
NEZ     1415.283,1081.654,11.978
SD      A403032,1.350,
HVD     395113,320269,62.725
SC      A403033,1.350,
NEZ     1430.064,1014.814,11.629
SD      A403033,1.350,
HVD     830226,308001,10.143
SC      A403034,1.350,
NEZ     1434.360,1020.284,10.958
SD      A403034,1.350,
HVD     820424,316510,3.165
SC      A403035,1.350,
NEZ     1451.694,984.377,10.792
SD      A403035,1.350,
HVD     1050083,324256,41.167
SC      A403036,1.350,
NEZ     1451.946,989.103,10.994
SD      A403036,1.350,
HVD     1061149,323161,36.923
SC      A403037,1.350,
NEZ     1446.808,1005.177,10.831
SD      A403037,1.350,
HVD     1082212,324126,20.280
SC      A403038,1.350,
NEZ     1441.683,1004.296,10.842
SD      A403038,1.350,
HVD     1029036,324008,19.057
SC      A403039,1.350,
NEZ     1440.535,1004.215,10.831
SD      A403039,1.350,
HVD     1016701,324138,18.856
SC      A403040,1.350,
NEZ     1432.943,1004.341,11.512
SD      A403040,1.350,
HVD     932592,316601,18.640
SC      A403041,1.350,
NEZ     1443.559,1025.752,10.967
SD      A403041,1.350,
HVD     85675,320694,7.738
SC      A403042,1.350,
NEZ     1441.262,1035.151,10.812
SD      A403042,1.350,
HVD     248746,324473,13.404
SC      A403043,1.350,
NEZ     1437.984,1034.856,10.858
SD      A403043,1.350,
HVD     298760,323754,12.319
SC      A403044,1.350,
NEZ     1434.804,1034.391,10.828
SD      A403044,1.350,
HVD     353195,324252,11.880
SC      A403045,1.350,
NEZ     1441.010,1048.532,10.896
SD      A403045,1.350,
HVD     288287,323582,26.295
SC      A403046,1.350,
NEZ     1438.031,1066.799,10.828
SC      A403047,1.350,
NEZ     1437.246,1066.114,10.697
SD      A403047,1.350,
HVD     320365,324695,43.491
SC      A403048,1.350,
NEZ     1433.713,1065.196,10.736
SD      A403048,1.350,
HVD     337388,324517,42.656
SC      A403049,1.350,
NEZ     1430.798,1064.779,10.708
SD      A403049,1.350,
HVD     351636,324654,42.531
SC      A403050,1.350,
NEZ     1429.627,1060.294,10.861
SD      A403050,1.350,
HVD     361120,323903,38.283
SC      A403051,1.350,
NEZ     1427.820,1078.244,10.795
SD      A403051,1.350,
HVD     355860,324175,56.285
SC      A403052,1.350,
NEZ     1433.435,1095.373,10.607
SD      A403052,1.350,
HVD     332628,324671,72.808
SC      A403053,1.350,
NEZ     1430.040,1094.752,10.681
SD      A403053,1.350,
HVD     342370,324464,72.409
SC      A403054,1.350,
NEZ     1427.006,1094.315,10.612
SD      A403054,1.350,
HVD     351106,324661,72.308
SC      A403055,1.350,
NEZ     1425.156,1109.549,10.669
SC      A403056,1.350,
NEZ     1434.028,1101.800,10.773
SD      A403056,1.350,
HVD     330383,324182,79.208
SC      A403057,1.350,
NEZ     1431.772,1126.028,10.692
SD      A403057,1.350,
HVD     333382,324304,103.505
SC      A403058,1.350,
NEZ     1433.079,1124.887,10.658
SD      A403058,1.350,
HVD     330858,324375,102.313
SC      A403059,1.350,
NEZ     1429.465,1125.506,10.509
SD      A403059,1.350,
HVD     338043,324670,103.116
SC      A403060,1.350,
NEZ     1426.134,1124.547,10.559
SD      A403060,1.350,
HVD     344866,324573,102.441
SC      A403061,1.350,
NEZ     1423.226,1124.298,10.516
SD      A403061,1.350,
HVD     350738,324658,102.529
SC      A403062,1.350,
NEZ     1419.437,1153.770,10.409
SD      A403062,1.350,
HVD     350655,324678,132.244
SC      A403063,1.350,
NEZ     1422.866,1154.145,10.456
SD      A403063,1.350,
HVD     345271,324606,132.218
SC      A403064,1.350,
NEZ     1425.768,1154.737,10.404
SD      A403064,1.350,
HVD     340688,324686,132.541
SC      A403065,1.350,
NEZ     1421.916,1184.820,10.367
SD      A403065,1.350,
HVD     342472,324605,162.843
SC      A403066,1.350,
NEZ     1418.992,1183.933,10.395
SD      A403066,1.350,
HVD     346276,324572,162.249
SC      A403067,1.350,
NEZ     1415.572,1184.097,10.339
SD      A403067,1.350,
HVD     350561,324641,162.815
SC      A403068,1.350,
NEZ     1417.426,1179.653,10.514
SC      A401C,1.350,
NEZ     1421.135,1202.441,10.352
SD      A401C,1.350,
HVD     341559,324564,180.466
SC      A402C,1.350,
NEZ     1428.106,1085.632,10.673
SD      A402C,1.350,
HVD     351254,324553,63.557
