JOB     AA.MEA
INST    station
STA     A305,1.480,
XYZ     1332.850,1411.460,13.140
BS      A401,1.300
HVD     987253,328686,130.794
SC      A401,1.300,BSS
NEZ     1421.121,1202.447,10.350
SC      G3,1.350,
NEZ     1302.960,1335.589,14.131
SD      G3,1.350,
HVD     642794,322367,108.538
SC      E1,1.350,
NEZ     1397.627,1351.815,14.268
SD      E1,1.350,
HVD     453995,315239,23.495
STA     23,1.466,
XYZ     1479.723,1502.101,13.540
BS      A204,1.350
HVD     648102,323539,88.838
SC      A204,1.350,BSS
NEZ     1413.263,1479.680,13.855
SC      A307,1.350,
NEZ     1427.104,1469.476,13.847
SD      A307,1.350,
HVD     676007,323480,75.694
SC      A23001,1.350,
NEZ     1494.504,1479.589,13.564
SD      A23001,1.350,
HVD     651650,326491,7.599
SC      A23002,1.350,
NEZ     1497.429,1479.698,13.556
SD      A23002,1.350,
HVD     649102,328407,4.673
SC      A23003,1.350,
NEZ     1500.093,1479.928,13.526
SD      A23003,1.350,
HVD     627048,337222,2.023
SC      A23004,1.350,
NEZ     1492.476,1466.425,13.770
SD      A23004,1.350,
HVD     842770,322572,16.416
SC      A23005,1.350,
NEZ     1494.023,1465.296,13.770
SC      A23006,1.350,
NEZ     1480.434,1470.779,13.657
SD      A23006,1.350,
HVD     728750,323995,23.440
SC      A23007,1.350,
NEZ     1484.051,1470.437,13.638
SD      A23007,1.350,
HVD     746004,324188,20.299
SC      A23008,1.350,
NEZ     1488.745,1469.079,13.620
SD      A23008,1.350,
HVD     786787,324436,17.079
SC      A23009,1.350,
NEZ     1493.860,1466.118,13.615
SD      A23009,1.350,
HVD     859667,324528,15.906
SC      A23010,1.350,
NEZ     1494.983,1465.180,13.613
SD      A23010,1.350,
HVD     878109,324549,16.191
SC      A23011,1.350,
NEZ     1479.380,1467.890,13.826
SD      A23011,1.350,
HVD     747036,322629,25.619
SC      A23012,1.350,
NEZ     1485.160,1467.379,13.820
SD      A23012,1.350,
HVD     777888,322388,20.962
SC      A23013,1.350,
NEZ     1490.366,1465.001,13.862
SD      A23013,1.350,
HVD     833191,321746,18.828
SC      A23014,1.350,
NEZ     1494.148,1462.392,13.826
SD      A23014,1.350,
HVD     883265,322158,19.070
SC      A23015,1.350,
NEZ     1490.620,1449.618,14.419
SD      A23015,1.350,
HVD     896848,319117,32.229
SC      A23016,1.350,
NEZ     1485.098,1429.633,14.651
SD      A23016,1.350,
HVD     904499,320121,52.906
SC      A23017,1.350,
NEZ     1478.963,1405.553,14.946
SD      A23017,1.350,
HVD     909627,320578,77.706
SC      A23018,1.350,
NEZ     1470.109,1365.771,15.388
SD      A23018,1.350,
HVD     915545,320983,118.370
SC      A23019,1.350,
NEZ     1461.959,1319.370,15.659
SD      A23019,1.350,
HVD     921405,321504,165.313
SC      A23020,1.350,
NEZ     1456.921,1282.448,15.915
SD      A23020,1.350,
HVD     925562,321701,202.395
SC      A23021,1.350,
NEZ     1484.251,1459.594,14.877
SD      A23021,1.350,
HVD     822364,314650,26.931
SC      A23022,1.350,
NEZ     1475.407,1445.485,15.436
SD      A23022,1.350,
HVD     835410,315550,43.451
SC      A23023,1.350,
NEZ     1469.690,1434.730,15.544
SD      A23023,1.350,
HVD     843237,316979,55.484
SC      A23024,1.350,
NEZ     1464.272,1431.637,15.671
SD      A23024,1.350,
HVD     834508,317209,61.216
SC      A23025,1.350,
NEZ     1494.949,1474.743,13.666
SD      A23025,1.350,
HVD     773460,323774,8.715
SC      A23026,2.150,
NEZ     1418.516,1476.866,13.958
SD      A23026,2.150,
HVD     655048,321283,83.641
SC      A23027,1.350,
NEZ     1427.117,1469.504,13.846
SD      A23027,1.350,
HVD     675937,323484,75.678
STA     A203,1.530,
XYZ     1479.890,1362.200,13.800
BS      A201,1.350
HVD     645631,325376,86.158
SC      A201,1.350,BSS
NEZ     1276.050,1480.880,13.405
SC      A204R,1.350,
NEZ     1413.242,1479.662,13.876
SD      A204R,1.350,
HVD     1295077,324422,51.043
SC      A203027,1.550,
NEZ     1359.555,1454.856,14.022
SC      A204028,1.550,
NEZ     1359.533,1455.338,13.975
SC      A204029,1.350,
NEZ     1354.565,1455.252,14.372
SC      A204030,1.350,
NEZ     1359.441,1447.517,14.361
SC      A204031,1.350,
NEZ     1375.490,1447.359,14.361
SD      A204031,1.350,
HVD     1052002,321766,35.143
SC      A204032,1.350,
NEZ     1376.225,1454.964,13.897
SC      A204033,1.350,
NEZ     1376.221,1454.308,13.940
SC      A204034,1.350,
NEZ     1379.477,1454.498,14.086
SD      A204034,1.350,
HVD     1095236,323292,30.713
SC      A204035,1.350,
NEZ     1381.151,1454.888,14.193
SC      A204036,1.350,
NEZ     1380.864,1439.209,14.300
SD      A204036,1.350,
HVD     1060727,322524,44.759
SC      A201C,1.350,
NEZ     1276.048,1480.882,13.405
SD      A201C,1.350,
HVD     645625,325379,86.159
STA     44,1.340,
XYZ     1246.858,1327.090,0.000
BS      A402,1.350
HVD     1205135,364158,191.330
SC      44037,1.350,
NEZ     1380.686,1401.369,-0.162
SD      44037,1.350,
HVD     255136,324193,163.543
SC      44038,1.350,
NEZ     1353.165,1400.429,-0.054
SD      44038,1.350,
HVD     289309,324061,155.769
SC      44039,1.350,
NEZ     1353.642,1439.669,-0.063
SD      44039,1.350,
HVD     295774,324060,194.631
SC      44040,1.350,
NEZ     1380.853,1439.310,-0.066
SD      44040,1.350,
HVD     267813,324061,199.820
SC      44041,1.350,
NEZ     1381.037,1447.385,-0.068
SD      44041,1.350,
HVD     269797,324061,207.657
SC      44042,1.350,
NEZ     1381.133,1454.990,-0.090
SD      44042,1.350,
HVD     271604,324080,215.034
SC      44043,1.350,
NEZ     1359.305,1447.226,-0.181
SD      44043,1.350,
HVD     291122,324178,202.941
SC      44044,1.350,
NEZ     1354.513,1447.447,-0.190
SD      44044,1.350,
HVD     295977,324187,202.455
SC      44045,1.350,
NEZ     1353.174,1396.152,-0.093
SD      44045,1.350,
HVD     288325,324115,151.555
SC      44046,1.350,
NEZ     1380.319,1395.862,-0.095
SD      44046,1.350,
HVD     253235,324114,158.226
SC      44047,1.350,
NEZ     1380.516,1409.378,-0.062
SD      44047,1.350,
HVD     258491,324066,171.076
SC      44048,1.350,
NEZ     1380.024,1358.620,-0.141
SD      44048,1.350,
HVD     232767,324222,123.663
SC      44049,1.350,
NEZ     1352.687,1356.922,-0.102
SD      44049,1.350,
HVD     276871,324169,113.001
SC      44050,1.350,
NEZ     1333.930,1402.011,-0.157
SD      44050,1.350,
HVD     314916,324197,155.304
SC      44051,1.350,
NEZ     1329.144,1402.004,-0.157
SD      44051,1.350,
HVD     321279,324198,155.160
SC      44052,1.350,
NEZ     1334.024,1409.963,-0.071
SD      44052,1.350,
HVD     315241,324080,163.252
SC      S6,1.350,
NEZ     1258.835,1357.089,-0.252
SD      S6,1.350,
HVD     438359,324386,129.652
SC      A401C,1.300,
NEZ     1421.136,1202.450,-20.457
SD      A401C,1.300,
HVD     1205004,364138,106.004
SC      A402C,1.300,
NEZ     1428.097,1085.632,-20.159
SD      A402C,1.300,
HVD     1087446,345821,191.322
BS      44,1.350
HVD     1086360,323924,129.649
SC      S6053,1.350,
NEZ     1256.667,1358.042,0.032
SD      S6053,1.350,
HVD     562615,315391,2.371
SC      S6054,1.350,
NEZ     1257.139,1397.178,0.030
SD      S6054,1.350,
HVD     332725,323501,40.125
SC      S6055,1.350,
NEZ     1284.284,1396.866,0.032
SD      S6055,1.350,
HVD     206603,323567,47.221
SC      S6056,1.350,
NEZ     1284.363,1402.386,-0.035
SD      S6056,1.350,
HVD     218145,323874,51.995
SC      S6057,1.350,
NEZ     1284.491,1410.412,0.034
SD      S6057,1.350,
HVD     231503,323648,59.174
SC      S6058,1.350,
NEZ     1284.796,1440.382,0.030
SD      S6058,1.350,
HVD     261679,323772,87.244
SC      S6059,1.350,
NEZ     1284.919,1448.152,-0.056
SD      S6059,1.350,
HVD     266459,323978,94.725
SC      S6060,1.350,
NEZ     1285.029,1456.280,0.027
SD      S6060,1.350,
HVD     270747,323812,102.591
SC      S6061,1.350,
NEZ     1257.615,1440.718,0.028
SD      S6061,1.350,
HVD     327009,323767,83.637
SC      S6062,1.350,
NEZ     1263.358,1448.267,-0.069
SD      S6062,1.350,
HVD     313777,324006,91.289
SC      S6063,1.350,
NEZ     1283.777,1359.667,-0.027
SD      S6063,1.350,
HVD     21244,323669,25.075
SC      S6064,1.350,
NEZ     1279.081,1359.729,-0.030
SD      S6064,1.350,
HVD     26746,323623,20.417
SC      S6065,1.350,
NEZ     1278.981,1367.772,-2.974
SD      S6065,1.350,
HVD     100570,350159,22.987
SC      44C,1.350,
NEZ     1327.091,1246.848,-0.020
SD      44C,1.350,
HVD     1086357,323927,129.661
