JOB     AAA.MEA
INST    station
STA     A102,1.535,
XYZ     1400.430,1196.090,11.550
BS      2,1.300
HVD     982310,327121,195.912
SC      2,1.300,BSS
NEZ     1205.876,1204.785,8.793
SC      A102001,1.300,
NEZ     1206.730,1203.946,8.881
SC      A102002,1.300,
NEZ     1205.701,1201.634,8.867
SC      22,1.350,
NEZ     1198.316,1476.121,13.021
SD      22,1.350,
HVD     317936,320414,75.736
SC      A102003,1.300,
NEZ     1207.664,1206.500,8.793
SD      A102003,1.300,
HVD     984296,327147,194.297
SC      A102004,1.300,
NEZ     1204.848,1197.282,8.822
SD      A102004,1.300,
HVD     980889,326977,203.358
SC      A102005,1.300,
NEZ     1211.629,1206.390,8.991
SD      A102005,1.300,
HVD     988483,326931,194.681
SC      A102006,1.300,
NEZ     1204.836,1196.455,8.785
SC      A102007,1.300,
NEZ     1199.670,1214.595,8.979
SD      A102007,1.300,
HVD     975973,327082,185.890
SC      A102008,1.350,
NEZ     1202.637,1465.144,12.775
SD      A102008,1.350,
HVD     283734,320299,65.053
SC      A102009,1.350,
NEZ     1211.513,1478.385,13.129
SD      A102009,1.350,
HVD     283710,320301,79.478
SC      A102010,1.350,
NEZ     1240.494,1478.104,13.272
SD      A102010,1.350,
HVD     216881,320388,89.484
SC      2C,1.300,
NEZ     1205.886,1204.791,8.788
SD      2C,1.300,
HVD     982319,327126,195.907
SC      A102011,1.350,
NEZ     1201.368,1354.690,10.555
SD      A102011,1.350,
HVD     995695,329147,46.058
SD      S6,1.350,
HVD     960526,969143,72.307
STA     S7,1.503,
XYZ     1399.996,1268.390,11.700
STA     S7,1.503,
XYZ     1399.996,1268.390,10.700
BS      A102,1.350
HVD     646763,322000,72.303
SC      A102,1.350,BSS
NEZ     1196.092,1400.430,11.554
SC      S7001,1.350,
NEZ     1284.338,1393.794,10.558
SD      S7001,1.350,
HVD     1219501,327556,17.114
SC      S7002,1.350,
NEZ     1283.599,1393.805,10.285
SD      S7002,1.350,
HVD     1216259,331128,16.431
SC      S7003,1.350,
NEZ     1284.315,1391.407,10.553
SD      S7003,1.350,
HVD     1193972,327417,18.096
SC      S7004,1.350,
NEZ     1283.571,1391.405,10.276
SD      S7004,1.350,
HVD     1189781,330821,17.453
SC      S7005,1.350,
NEZ     1281.454,1393.064,10.317
SD      S7005,1.350,
HVD     1195384,331467,14.799
SC      S7006,1.350,
NEZ     1282.142,1391.057,10.278
SD      S7006,1.350,
HVD     1177108,331230,16.412
SC      S7007,1.350,
NEZ     1276.707,1390.445,10.328
SD      S7007,1.350,
HVD     1119780,332542,12.676
SC      S7008,1.350,
NEZ     1276.728,1388.698,10.353
SD      S7008,1.350,
HVD     1103131,331347,14.051
SC      S7009,1.350,
NEZ     1274.889,1389.327,10.321
SD      S7009,1.350,
HVD     1084851,332782,12.504
SC      S7010,1.350,
NEZ     1273.861,1386.918,10.361
SD      S7010,1.350,
HVD     1053718,331155,14.185
SC      S7011,1.350,
NEZ     1270.447,1386.141,10.317
SD      S7011,1.350,
HVD     1002402,331885,14.017
SC      S7012,1.350,
NEZ     1270.069,1383.673,10.347
SD      S7012,1.350,
HVD     993142,330358,16.417
SC      S7013,1.350,
NEZ     1267.423,1382.442,10.363
SD      S7013,1.350,
HVD     960648,329746,17.588
SC      S7014,1.350,
NEZ     1268.596,1381.486,10.358
SD      S7014,1.350,
HVD     974299,329520,18.518
SC      S7015,1.350,
NEZ     1266.604,1380.542,10.367
SD      S7015,1.350,
HVD     953118,329132,19.542
SC      S7016,1.350,
NEZ     1268.004,1380.056,10.365
SD      S7016,1.350,
HVD     968004,329045,19.949
SC      S7017,1.350,
NEZ     1264.064,1383.162,10.363
SD      S7017,1.350,
HVD     920116,329814,17.388
SC      S7018,1.350,
NEZ     1261.987,1385.128,10.355
SD      S7018,1.350,
HVD     888120,330339,16.196
SC      S7019,1.350,
NEZ     1259.581,1387.154,10.345
SD      S7019,1.350,
HVD     847991,330729,15.581
SC      S7020,1.350,
NEZ     1257.616,1388.688,10.314
SD      S7020,1.350,
HVD     814979,331122,15.628
SC      S7021,1.350,
NEZ     1256.933,1388.642,10.555
SD      S7021,1.350,
HVD     809070,327809,16.133
SC      S7022,1.350,
NEZ     1256.892,1386.230,10.547
SD      S7022,1.350,
HVD     828465,327521,17.939
SC      S7023,1.350,
NEZ     1257.603,1386.273,10.304
SD      S7023,1.350,
HVD     834584,330483,17.464
SC      S7024,1.350,
NEZ     1259.484,1385.137,10.343
SD      S7024,1.350,
HVD     860621,330073,17.331
SC      S7025,1.350,
NEZ     1261.581,1383.475,10.347
SD      S7025,1.350,
HVD     891363,329838,17.876
SC      S7026,1.350,
NEZ     1263.636,1381.471,10.361
SD      S7026,1.350,
HVD     920189,329306,19.131
SC      S7027,1.350,
NEZ     1266.140,1378.545,10.380
SD      S7027,1.350,
HVD     950443,328525,21.574
SC      S7028,1.350,
NEZ     1266.700,1376.434,10.360
SD      S7028,1.350,
HVD     957230,328304,23.628
SC      S7029,1.350,
NEZ     1266.056,1372.200,10.298
SD      S7029,1.350,
HVD     954719,328105,27.899
SC      S7030,1.350,
NEZ     1264.995,1369.258,10.307
SD      S7030,1.350,
HVD     949313,327640,30.930
SC      S7031,1.350,
NEZ     1264.561,1364.618,10.307
SD      S7031,1.350,
HVD     949765,327165,35.589
SC      S7032,1.350,
NEZ     1265.175,1360.692,10.282
SD      S7032,1.350,
HVD     955163,326987,39.439
SC      S7033,1.350,
NEZ     1265.460,1358.492,10.313
SD      S7033,1.350,
HVD     957462,326680,41.610
SC      S7034,1.350,
NEZ     1265.443,1357.754,10.552
SD      S7034,1.350,
HVD     957635,325465,42.346
SC      S7035,1.350,
NEZ     1267.850,1357.715,10.553
SD      S7035,1.350,
HVD     969364,325465,42.285
SC      S7036,1.350,
NEZ     1267.816,1358.470,10.307
SD      S7036,1.350,
HVD     969150,326713,41.533
SC      S7037,1.350,
NEZ     1266.801,1362.084,10.265
SD      S7037,1.350,
HVD     963362,327198,37.949
SC      S7038,1.350,
NEZ     1266.010,1365.017,10.289
SD      S7038,1.350,
HVD     957987,327318,35.065
SC      S7039,1.350,
NEZ     1265.910,1367.258,10.304
SD      S7039,1.350,
HVD     956404,327452,32.836
SC      S7040,1.350,
NEZ     1266.556,1369.019,10.334
SD      S7040,1.350,
HVD     959802,327453,31.035
SC      S7041,1.350,
NEZ     1267.323,1370.892,10.332
SD      S7041,1.350,
HVD     964441,327688,29.128
SC      S7042,1.350,
NEZ     1267.713,1373.050,10.328
SD      S7042,1.350,
HVD     966821,328019,26.959
SC      S7043,1.350,
NEZ     1268.180,1375.840,10.354
SD      S7043,1.350,
HVD     970204,328259,24.162
SC      S7044,1.350,
NEZ     1267.965,1378.254,10.372
SD      S7044,1.350,
HVD     967973,328561,21.752
SC      S7045,1.350,
NEZ     1267.991,1379.884,10.364
SD      S7045,1.350,
HVD     967911,329010,20.122
SC      S7046,1.350,
NEZ     1284.377,1397.003,10.228
SD      S7046,1.350,
HVD     1257824,331923,16.277
SC      S7047,1.350,
NEZ     1278.979,1367.756,10.277
SD      S7047,1.350,
HVD     1037459,327500,33.939
SC      S7048,1.350,
NEZ     1256.955,1397.314,10.674
SD      S7048,1.350,
HVD     695513,327144,11.747
SC      S7049,1.350,
NEZ     1279.472,1410.599,10.408
SD      S7049,1.350,
HVD     157444,329978,15.344
SC      A102C,1.350,
NEZ     1196.097,1400.446,11.548
SD      A102C,1.350,
HVD     646719,322018,72.298
