JOB     C15.MEA
INST    station
STA     15,1.495,
XYZ     1883.652,810.023,15.021
BS      106,1.350
HVD     284,322863,79.998
SC      106,1.350,BSS
NEZ     890.019,1883.762,15.607
SC      C105,1.350,
NEZ     822.430,1868.079,15.788
SD      C105,1.350,
HVD     1110766,317558,19.921
SC      C15196,1.350,
NEZ     804.413,1877.503,15.101
SC      C15038,1.350,
NEZ     812.837,1882.490,15.115
SD      C15038,1.350,
HVD     1215211,327455,3.045
SC      C15193,1.350,
NEZ     818.105,1876.836,15.025
SD      C15193,1.350,
HVD     1151481,326760,10.573
SC      C15191,1.350,
NEZ     827.411,1870.016,15.710
SD      C15191,1.350,
HVD     1158830,318920,22.104
SC      C15185,1.350,
NEZ     827.859,1888.400,15.239
SD      C15185,1.350,
HVD     53668,323180,18.457
SC      C15173,1.350,
NEZ     832.326,1886.557,15.368
SD      C15173,1.350,
HVD     26718,322145,22.492
SC      C15175,1.350,
NEZ     832.403,1894.174,15.393
SD      C15175,1.350,
HVD     90658,322108,24.731
SC      C15184,1.350,
NEZ     840.363,1903.986,15.431
SD      C15184,1.350,
HVD     121786,322505,36.525
SC      C15041,1.350,
NEZ     842.110,1912.839,15.519
SD      C15041,1.350,
HVD     152247,322323,43.377
SC      C15159,1.350,
NEZ     814.347,1873.366,15.186
SC      C15202,1.350,
NEZ     804.741,1855.995,14.898
SD      C15202,1.350,
HVD     933077,325961,28.159
SC      C15203,1.350,
NEZ     802.319,1852.566,14.865
SD      C15203,1.350,
HVD     921894,325942,32.028
SC      C15219,1.350,
NEZ     798.676,1824.110,15.290
SD      C15219,1.350,
HVD     933159,323579,60.613
SC      C15218,1.350,
NEZ     798.636,1821.170,15.347
SD      C15218,1.350,
HVD     934819,323413,63.511
SC      C15211,1.350,
NEZ     806.947,1815.695,15.430
SD      C15211,1.350,
HVD     962668,323202,68.027
SC      C105C,1.350,
NEZ     822.436,1868.078,15.795
SD      C105C,1.350,
HVD     1110799,317491,19.925
