JOB     CHECK.MEA
INST    station
STA     A304,1.490,
XYZ     1223.450,1410.490,10.580
BS      2,1.350
HVD     666756,325959,205.472
SC      2,1.350,BSS
NEZ     1205.877,1204.790,8.773
SC      C401,1.350,
NEZ     1421.139,1202.431,10.352
SD      C401,1.350,
HVD     1068727,327221,23.565
SC      C304059,1.300,
NEZ     1407.544,1228.933,10.875
SD      C304059,1.300,
HVD     425698,320510,6.226
SC      C304061,1.350,
NEZ     1407.647,1236.452,11.047
SD      C304061,1.350,
HVD     368411,318926,13.313
SC      C304064,1.350,
NEZ     1383.549,1234.697,10.383
SD      C304064,1.350,
HVD     566428,326380,29.196
SC      C303003,1.350,
NEZ     1381.168,1236.726,10.380
SD      C303003,1.350,
HVD     560308,326178,32.189
SC      C304066,1.350,
NEZ     1373.719,1229.276,10.264
SD      C304066,1.350,
HVD     615589,326529,37.232
SC      C303007,1.350,
NEZ     1352.897,1229.496,10.147
SD      C303007,1.350,
HVD     626425,326042,57.913
SC      C304148,1.350,
NEZ     1361.474,1216.960,9.947
SD      C304148,1.350,
HVD     675153,327225,49.450
SC      C304069,1.350,
NEZ     1399.659,1195.237,10.399
SD      C304069,1.350,
HVD     896393,326192,30.222
SC      C304071,1.350,
NEZ     1392.891,1191.127,10.324
SD      C304071,1.350,
HVD     869156,326218,36.806
SC      C304074,1.350,
NEZ     1390.257,1193.399,10.285
SD      C304074,1.350,
HVD     849772,326479,36.231
SC      C304081,1.350,
NEZ     1380.542,1195.411,10.192
SD      C304081,1.350,
HVD     803210,326654,41.028
SC      C304151,1.350,
NEZ     1391.978,1208.350,10.121
SD      C304151,1.350,
HVD     789134,329169,23.897
SC      C304128,1.350,
NEZ     1424.155,1206.074,10.298
SD      C304128,1.350,
HVD     1109461,327936,22.110
SC      C304016,1.350,
NEZ     1423.012,1238.626,11.062
SD      C304016,1.350,
HVD     181706,320414,19.678
SC      C304157,1.350,
NEZ     1396.479,1250.999,10.775
SD      C304157,1.350,
HVD     421048,323635,30.908
SC      C304106,1.350,
NEZ     1398.003,1244.688,10.570
SD      C304106,1.350,
HVD     433629,325253,24.637
SC      C304102,1.350,
NEZ     1407.983,1244.581,11.224
SD      C304102,1.350,
HVD     348354,319111,21.285
SC      C401C,1.350,
NEZ     1421.128,1202.427,10.351
SD      C401C,1.350,
HVD     1068628,327226,23.564
STA     2,1.490,
XYZ     1204.789,1205.879,8.792
STA     2,1.478,
XYZ     1204.789,1205.879,8.792
BS      22,1.350
HVD     329742,320916,271.456
SC      22,1.350,BSS
NEZ     1198.324,1476.110,12.983
SC      C417,1.300,
NEZ     1179.510,1092.553,7.627
SD      C417,1.300,
HVD     924403,326404,115.300
SC      C2034,1.350,
NEZ     1205.137,1241.251,9.227
SC      C2033,1.350,
NEZ     1206.162,1227.551,9.157
SC      C2T1,1.350,
NEZ     1205.448,1233.062,9.167
SC      C2021,1.350,
NEZ     1206.968,1226.167,9.107
SC      C2022,1.350,
NEZ     1209.563,1222.484,8.945
SC      C2023,1.350,
NEZ     1211.804,1221.333,9.011
SC      C2024,1.350,
NEZ     1212.492,1220.582,9.025
SC      C2025,1.350,
NEZ     1212.805,1221.232,8.390
SC      C2026,1.350,
NEZ     1219.152,1219.617,9.108
SC      C2020,1.350,
NEZ     1215.150,1225.204,9.722
SD      C2020,1.350,
HVD     236078,316620,22.436
SC      C2012,1.350,
NEZ     1224.248,1231.214,9.486
SD      C2012,1.350,
HVD     198712,320371,32.187
SA      C2071,1.350,
HV      207301,317717
SC      C2071,1.350,
NEZ     1236.404,1252.833,10.654
SD      C2071,1.350,
HVD     207251,317718,56.947
SC      C2013,1.350,
NEZ     1224.299,1238.770,9.821
SD      C2013,1.350,
HVD     221541,319195,38.662
SC      C2016,1.350,
NEZ     1251.800,1238.325,9.983
SD      C2016,1.350,
HVD     130104,320145,56.873
SC      C2017,1.350,
NEZ     1259.226,1230.762,9.718
SD      C2017,1.350,
HVD     93457,321226,59.339
SC      C2001,1.350,
NEZ     1231.632,1197.148,9.258
SD      C2001,1.350,
HVD     1236507,321404,26.865
SC      C2003,1.350,
NEZ     1224.172,1197.170,9.231
SD      C2003,1.350,
HVD     1214599,320761,19.819
SC      C2005,1.350,
NEZ     1217.044,1195.240,9.126
SD      C2005,1.350,
HVD     1150062,321111,14.693
SC      C2006,1.350,
NEZ     1216.406,1196.115,9.111
SD      C2006,1.350,
HVD     1153845,321114,13.642
SC      C2040,1.350,
NEZ     1203.984,1194.631,8.621
SD      C2040,1.350,
HVD     933962,329964,10.338
SC      C2041,1.350,
NEZ     1203.888,1186.584,8.540
SD      C2041,1.350,
HVD     949535,328283,18.318
SC      C417C,1.300,
NEZ     1179.543,1092.509,7.631
SD      C417C,1.300,
HVD     924478,326396,115.335
BS      2,1.350
HVD     977746,327316,271.453
SC      2,1.350,BSS
NEZ     1205.880,1204.792,8.771
SC      C201,1.350,
NEZ     1276.029,1480.869,13.360
SD      C201,1.350,
HVD     12638,323390,77.852
SC      C22149,1.350,
NEZ     1209.977,1446.926,12.485
SD      C22149,1.350,
HVD     1050385,328233,31.426
SC      C22148,1.350,
NEZ     1210.045,1454.147,12.657
SD      C22148,1.350,
HVD     1073156,327916,24.894
SC      C22129,1.350,
NEZ     1207.571,1471.821,12.871
SD      C22129,1.350,
HVD     1206545,329233,10.195
SC      C22172,1.350,
NEZ     1242.572,1470.666,14.303
SD      C22172,1.350,
HVD     1270783,318577,44.597
SC      C22173,1.750,
NEZ     1256.488,1470.540,14.301
SD      C22173,1.750,
HVD     1276330,318456,58.452
SC      C22166,1.350,
NEZ     1232.355,1446.664,13.630
SD      C22166,1.350,
HVD     1148907,321708,45.002
SC      C22145,1.350,
NEZ     1207.800,1458.114,12.744
SC      C22144,1.350,
NEZ     1207.812,1470.448,13.019
SC      C22146,1.350,
NEZ     1208.149,1469.705,12.980
