JOB     S5.MEA
INST    station
BS      2,1.350
HVD     687413,326088,160.790
SC      A301C,1.350,
NEZ     1288.841,1196.989,9.670
SD      A301C,1.350,
HVD     745591,325792,84.123
SC      S5,1.350,
NEZ     1362.532,1268.298,10.622
SD      S5,1.350,
HVD     331433,322612,33.000
SC      A302C,1.350,
NEZ     1305.049,1231.613,9.908
SD      A302C,1.350,
HVD     661021,325726,58.790
BS      A303,1.350
HVD     979430,327060,33.001
SC      A303,1.350,BSS
NEZ     1363.720,1235.322,10.267
SC      S5001,1.350,
NEZ     1357.192,1264.547,10.446
SD      S5001,1.350,
HVD     774335,333797,6.533
SC      S5002,1.500,
NEZ     1352.347,1264.584,10.728
SD      S5002,1.500,
HVD     720128,321680,10.841
SC      S5003,1.350,
NEZ     1357.389,1270.621,10.539
SD      S5003,1.350,
HVD     560515,331929,5.647
SC      S5004,1.350,
NEZ     1373.898,1270.387,10.565
SD      S5004,1.350,
HVD     37497,327409,11.558
SC      S5005,1.500,
NEZ     1378.796,1264.294,10.777
SD      S5005,1.500,
HVD     1246211,321900,16.750
SC      S5006,1.350,
NEZ     1363.589,1263.301,10.442
SD      S5006,1.350,
HVD     1015032,336669,5.117
SC      S5007,1.350,
NEZ     1362.075,1263.339,10.450
SD      S5007,1.350,
HVD     953048,336664,4.990
SC      S5008,1.350,
NEZ     1363.357,1265.128,10.526
SD      S5008,1.350,
HVD     1024536,338466,3.284
SC      S5009,1.350,
NEZ     1362.856,1266.767,10.515
SD      S5009,1.350,
HVD     1015019,355482,1.583
SC      S5010,1.350,
NEZ     1363.190,1269.340,10.602
SD      S5010,1.350,
HVD     207688,349677,1.242
SC      S5011,1.350,
NEZ     1366.545,1274.360,10.631
SD      S5011,1.350,
HVD     203377,327548,7.271
SC      S5012,1.350,
NEZ     1367.599,1278.119,10.577
SD      S5012,1.350,
HVD     225740,327353,11.053
SC      S5013,1.350,
NEZ     1368.181,1280.448,10.538
SD      S5013,1.350,
HVD     234225,327353,13.401
SC      S5014,1.350,
